NNLSSI1 solar spectral irradiance bands in units of W/m2   ID=1
NNLSSI1 solar spectral irradiance projection with Schwabe cycle period = 10.9 years    ID=2
Upper and Lower bounds of the irradiance projections are provided (otherwise set to -99). 
time (yyyy-MM-dd), 0-100 nm, 0-100 nm (lower), 0-100 nm (upper), 100-200 nm, 100-200 nm (lower), 100-200 nm (upper),200-300 nm, 200-300 nm (lower), 200-300 nm (upper),300-400 nm, 300-400 nm (lower), 300-400 nm (upper),0-200000 nm, 0-200000 nm (lower), 0-200000 nm (upper) ID
1610-07-01,0.0028863987,-99.0,-99.0,0.10317122,-99.0,-99.0,14.560899,-99.0,-99.0,93.587223,-99.0,-99.0,1361.3351,-99.0,-99.0,1
1611-07-01,0.0033042353,-99.0,-99.0,0.10456801,-99.0,-99.0,14.579952,-99.0,-99.0,93.620633,-99.0,-99.0,1361.4655,-99.0,-99.0,1
1612-07-01,0.0046876561,-99.0,-99.0,0.10912155,-99.0,-99.0,14.641155,-99.0,-99.0,93.724015,-99.0,-99.0,1361.8430,-99.0,-99.0,1
1613-07-01,0.0045981021,-99.0,-99.0,0.10882930,-99.0,-99.0,14.637260,-99.0,-99.0,93.717579,-99.0,-99.0,1361.8205,-99.0,-99.0,1
1614-07-01,0.0050453508,-99.0,-99.0,0.11028612,-99.0,-99.0,14.656642,-99.0,-99.0,93.749444,-99.0,-99.0,1361.9309,-99.0,-99.0,1
1615-07-01,0.0055163122,-99.0,-99.0,0.11181345,-99.0,-99.0,14.676874,-99.0,-99.0,93.782313,-99.0,-99.0,1362.0421,-99.0,-99.0,1
1616-07-01,0.0027865025,-99.0,-99.0,0.10283524,-99.0,-99.0,14.556290,-99.0,-99.0,93.579027,-99.0,-99.0,1361.3023,-99.0,-99.0,1
1617-07-01,0.0022025308,-99.0,-99.0,0.10085066,-99.0,-99.0,14.528807,-99.0,-99.0,93.529034,-99.0,-99.0,1361.0955,-99.0,-99.0,1
1618-07-01,0.0021744677,-99.0,-99.0,0.10075423,-99.0,-99.0,14.527458,-99.0,-99.0,93.526524,-99.0,-99.0,1361.0847,-99.0,-99.0,1
1619-07-01,0.0025969014,-99.0,-99.0,0.10219499,-99.0,-99.0,14.547476,-99.0,-99.0,93.563213,-99.0,-99.0,1361.2383,-99.0,-99.0,1
1620-07-01,0.0025969014,-99.0,-99.0,0.10219499,-99.0,-99.0,14.547476,-99.0,-99.0,93.563213,-99.0,-99.0,1361.2383,-99.0,-99.0,1
1621-07-01,0.0025969014,-99.0,-99.0,0.10219499,-99.0,-99.0,14.547476,-99.0,-99.0,93.563213,-99.0,-99.0,1361.2383,-99.0,-99.0,1
1622-07-01,0.0025969014,-99.0,-99.0,0.10219499,-99.0,-99.0,14.547476,-99.0,-99.0,93.563213,-99.0,-99.0,1361.2383,-99.0,-99.0,1
1623-07-01,0.0025969014,-99.0,-99.0,0.10219499,-99.0,-99.0,14.547476,-99.0,-99.0,93.563213,-99.0,-99.0,1361.2383,-99.0,-99.0,1
1624-07-01,0.0024259173,-99.0,-99.0,0.10161444,-99.0,-99.0,14.539442,-99.0,-99.0,93.548629,-99.0,-99.0,1361.1781,-99.0,-99.0,1
